day,turnover
2019-08-23,43947.799999999996
2019-08-24,38579.56
2019-08-25,74376.749999999971
2019-08-26,76709.670000000013
2019-08-27,63462.90999999996
2019-08-28,73467.389999999985
2019-08-29,74128.659999999989
2019-08-30,54307.6
2019-08-31,60221.57
2019-09-01,124064.43000000009
2019-09-02,79513.77999999997
2019-09-03,71086.5
2019-09-04,69377.840000000011
2019-09-05,62491.709999999985
2019-09-06,54331.51
2019-09-07,51912.469999999987
2019-09-08,73431.040000000008
2019-09-09,82073.010000000009
2019-09-10,60935.990000000005
2019-09-11,57466.880000000012
2019-09-12,60089.790000000008
2019-09-13,42912.35
2019-09-14,40425.23
2019-09-15,67402.93
2019-09-16,86455.640000000014
2019-09-17,59646.690000000017
2019-09-18,55997.020000000019
2019-09-19,55582.829999999994
2019-09-20,46736.680000000015
2019-09-21,47068.03
2019-09-22,97156.690000000061
2019-09-23,63778.800000000025
2019-09-24,52419.389999999985
2019-09-25,66096.720000000016
2019-09-26,59011.489999999991
2019-09-27,64240.53
2019-09-28,55046.189999999995
2019-09-29,92786.570000000065
2019-09-30,77817.88
2019-10-01,85559.32
2019-10-02,59719.749999999993
2019-10-03,48719.74
2019-10-04,48042.37999999999
2019-10-05,55841.490000000013
2019-10-06,81775.940000000017
2019-10-07,79814.940000000017
2019-10-08,51425.799999999981
2019-10-09,56909.149999999994
2019-10-10,47394.709999999985
2019-10-11,40396.25
2019-10-12,40284.860000000008
2019-10-13,80171.269999999975
2019-10-14,64765.13999999997
2019-10-15,56592.729999999996
2019-10-16,55263.890000000007
2019-10-17,55726.07
2019-10-18,44272.310000000005
2019-10-19,43292.979999999996
2019-10-20,74240.470000000016
2019-10-21,77985.9
2019-10-22,47757.450000000012
2019-10-23,48579.779999999984
2019-10-24,42111.65
2019-10-25,39360.760000000017
2019-10-26,35810.510000000009
2019-10-27,80225.340000000011
2019-10-28,81081.190000000017
2019-10-29,60989.069999999978
2019-10-30,56944.239999999991
2019-10-31,41745.0
2019-11-01,57431.430000000015
2019-11-02,48074.850000000006
2019-11-03,93724.510000000068
2019-11-04,104274.87000000007
2019-11-05,78785.460000000065
2019-11-06,86168.530000000042
2019-11-07,70375.790000000023
2019-11-08,53293.010000000009
2019-11-09,58180.07999999998
2019-11-10,91829.570000000065
2019-11-11,151154.11000000004
2019-11-12,64462.04
2019-11-13,60517.76999999999
2019-11-14,53378.58
2019-11-15,48264.55
2019-11-16,48648.389999999978
2019-11-17,82258.21
2019-11-18,82925.83
2019-11-19,53971.640000000007
2019-11-20,56868.279999999992
2019-11-21,56233.729999999989
2019-11-22,52874.12999999999
2019-11-23,59005.98
2019-11-24,90771.679999999978
2019-11-25,82057.439999999973
2019-11-26,72883.950000000012
2019-11-27,107754.27000000003
2019-11-28,85187.19
2019-11-29,118205.17999999996
2019-11-30,88522.830000000031
2019-12-01,173197.5600000002
2019-12-02,145714.02999999997
2019-12-03,69564.319999999992
2019-12-04,78417.8
2019-12-05,80635.909999999974
2019-12-06,67961.099999999991
2019-12-07,57240.209999999985
2019-12-08,96518.450000000012
2019-12-09,94079.359999999971
2019-12-10,78197.56
2019-12-11,77053.200000000012
2019-12-12,73280.119999999981
2019-12-13,63184.690000000017
2019-12-14,60396.009999999987
2019-12-15,102938.47000000003
2019-12-16,85572.50999999998
2019-12-17,55920.62
2019-12-18,50166.420000000006
2019-12-19,32699.9
2019-12-20,27651.87
2019-12-21,24733.01
2019-12-22,29092.09
2019-12-23,27944.04
2019-12-24,17086.84
2019-12-25,16636.489999999998
2019-12-26,35095.799999999996
2019-12-27,38026.21
2019-12-28,39259.499999999993
